term,caseName,justiceId,speakerName,text,cleanText,duration,decidedBy,arguedOn,petitioner,respondent,docket,grantedOn,decidedOn,justice,partyWinning,majority,direction,vote
2005,Davis v. Washington,112,"Samuel A. Alito, Jr.","Is it your argument that any statement made to law enforcement is testimonial? I thought that's what you said in your argument when you started off. Well, what if the only question... what if a 911 caller says nothing more than, in a very excited way, someone is attacking me, send a police officer right away to make the person stop attacking me? Is that testimonial? ",be it your argument that any statement make to law enforcement be testimonial i think that be what you say in your argument when you start off well what if the only question what if a caller say nothing more than in a very excited way someone be attack me send a police officer right away to make the person stop attack me be that testimonial ,18.03,Roberts Court,"Mar 20, 2006",Adrian Martell Davis,Washington,05-5224,"Oct 31, 2005","Jun 19, 2006",112,0.0,1.0,0.0,0
2005,Clark v. Arizona,112,"Samuel A. Alito, Jr.","Well, is a State required to adopt any particular mens rea for murder? Is there a constitutional requirement as to the minimum mens rea that can be... can be set for the offense of murder? Was it a reason of... question whether he knew it was a police officer or whether he knew it was a human being? ",well be a state require to adopt any particular men rea for murder be there a constitutional requirement as to the minimum mens rea that can be can be set for the offense of murder be it a reason of question whether he know it be a police officer or whether he know it be a human be ,16.049999999999994,Roberts Court,"Apr 19, 2006",Eric Michael Clark,Arizona,05-5966,"Dec 5, 2005","Jun 29, 2006",112,0.0,1.0,0.0,0
2005,"Laboratory Corp. of America Holdings v. Metabolite Laboratories, Inc.",112,"Samuel A. Alito, Jr.",Is it true as the respondents argue that a holding in your favor would call into question thousands of patents? And do you have any idea how many there are of those? ,be it true as the respondent argue that a hold in your favor would call into question thousand of patent and do you have any idea how many there be of those ,10.31,Roberts Court,"Mar 21, 2006","Laboratory Corporation of America Holdings, dba LabCorp","Metabolite Laboratories, Inc., et al.",04-607,"Oct 31, 2005","Jun 22, 2006",112,0.0,1.0,0.0,0
2005,League of United Latin American Citizens v. Perry,112,"Samuel A. Alito, Jr.","Well, if... if the objective is just to get rid of the voters who vote against Congressman Bonilla, why is that an equal protection violation? It's not done for... for race or ethnicity, but just to get rid of voters who vote against him. ",well if if the objective be just to get rid of the voter who vote against congressman bonilla why be that an equal protection violation it be not do for for race or ethnicity but just to get rid of voter who vote against him ,12.41,Roberts Court,"Mar 1, 2006",,,05-204,"Dec 12, 2005","Jun 28, 2006",112,1.0,0.0,0.0,0
2005,Day v. McDonough,112,"Samuel A. Alito, Jr.","Are you-- --Are you saying that the error is simply that it wasn't done via Rule 15? What if we were to say that the same considerations apply when it's simply raised sua sponte by the... by the... by the District Court? What would be your objection to that? Well, if you think it's... if it's done under Rule 15, would the considerations necessarily be exactly the same in a habeas case as in an ordinary civil case? ",be you be you say that the error be simply that it be not do via rule what if we we be to say that the same consideration apply when it be simply raise sua sponte by the by the by the district court what would be your objection to that well if you think it be if it be do under rule would the consideration necessarily be exactly the same in a habeas case as in an ordinary civil case ,24.76,Roberts Court,"Feb 27, 2006",Patrick Day,"James R. McDonough, Interim Secretary, Florida Department of Corrections",04-1324,"Sep 27, 2005","Apr 25, 2006",112,0.0,1.0,0.0,0
2005,Washington v. Recuenco,112,"Samuel A. Alito, Jr.","Let's say a new case comes up tomorrow and the person is charged in an information with assault in the second degree, and it's clearly alleged in the information that a firearm was used. But then when the case is submitted to the jury, the judge just forgets to charge on the firearm factor or element. Would that... could that be harmless error? Is that any different from the case that's before us? Well, it's a different... is it a materially different case? Is it just like Neder, or is it different from Neder? You keep saying a lesser offense and a greater offense, but under Washington law, there's just one offense. Isn't that right? It's second... it's assault in the second degree. ",let us say a new case come up tomorrow and the person be charge in an information with assault in the second degree and it be clearly allege in the information that a firearm be use but then when the case be submit to the jury the judge just forgets to charge on the firearm factor or element would that could that be harmless error be that any different from the case that be before us well it be a different be it a materially different case be it just like neder or be it different from neder you keep say a less offense and a great offense but under washington law there be just one offense be not that right it be second it be assault in the second degree ,41.45,Roberts Court,"Apr 17, 2006",Washington,Arturo R. Recuenco,05-83,"Oct 17, 2005","Jun 26, 2006",112,1.0,1.0,0.0,1
2005,United States v. Gonzalez-Lopez,112,"Samuel A. Alito, Jr.","Well, why would it be easier than in Strickland? In the... in the case of ineffective assistance of counsel, you have a very focused inquiry, but in this situation, how are you going to... how can a judge assess, after the fact, whether the strategy that was pursued was inferior to another strategy that's... that... that allegedly would have been pursued if the first choice attorney had been selected? Or maybe even more difficult, how can a judge assess whether the attorney who ended up representing the defendant was in some way less skillful than the attorney that the... the defendant preferred to have? That seems like a very difficult determination to make. Well-- Well, can there not be a case where it's clear beyond a reasonable doubt that the... the judge's mistaken ruling on a disqualification motion didn't have any effect on the outcome? Well, let's say the defendant wanted to be represented by a relative whose... whose specialty is real estate, and for some reason, that lawyer is wrongfully disqualified. And so then the defendant ends up with a very experienced criminal practitioner with a national representation... a national reputation, and still the defendant is convicted. Could that not be harmless beyond a reasonable doubt? Would your... would your rule-- --Would your rule apply in the case of a guilty plea? Well, your comment about the defendant running out of a funds is... raises a good point. So the remedy would be an automatic reversal in a case like that where the defendant would be represented by appointed counsel? In this case. ",well why would it be easy than in strickland in the in the case of ineffective assistance of counsel you have a very focused inquiry but in this situation how be you go to how can a judge ass after the fact whether the strategy that be pursue be inferior to another strategy that be that that allegedly would have be pursue if the first choice attorney have be select or maybe even more difficult how can a judge ass whether the attorney who end up represent the defendant be in some way less skillful than the attorney that the the defendant prefer to have that seem like a very difficult determination to make well well can there not be a case where it be clear beyond a reasonable doubt that the the judge s mistaken ruling on a disqualification motion do not have any effect on the outcome well let us say the defendant want to be represent by a relative whose whose specialty be real estate and for some reason that lawyer be wrongfully disqualify and so then the defendant end up with a very experienced criminal practitioner with a national representation a national reputation and still the defendant be convict could that not be harmless beyond a reasonable doubt would your would your rule would your rule apply in the case of a guilty plea well your comment about the defendant run out of a fund be raise a good point so the remedy would be an automatic reversal in a case like that where the defendant would be represent by appoint counsel in this case ,96.39000000000004,Roberts Court,"Apr 18, 2006",United States,Cuauhtemoc Gonzalez-Lopez,05-352,"Jan 6, 2006","Jun 26, 2006",112,0.0,0.0,0.0,1
2005,Marshall v. Marshall,112,"Samuel A. Alito, Jr.",,,0.0,Roberts Court,"Feb 28, 2006",Vickie Lynn Marshall,E. Pierce Marshall,04-1544,"Sep 27, 2005","May 1, 2006",112,1.0,1.0,1.0,1
2005,Northern Ins. Co. of N.Y. v. Chatham County,112,"Samuel A. Alito, Jr.","What... what other sorts of torts would this apply to, as applied to Chatham County? If Chatham County-- --were sued, you know... if Chatham County were sued for something done by a law enforcement officer, would your theory apply? Well, has the Eleventh Circuit or did the old Fifth Circuit ever apply this doctrine in any area outside of admiralty? ",what what other sort of tort would this apply to as apply to chatham county if chatham county we be sue you know if chatham county we be sue for something do by a law enforcement officer would your theory apply well have the eleventh circuit or do the old fifth circuit ever apply this doctrine in any area outside of admiralty ,21.21,Roberts Court,"Mar 1, 2006",Northern Insurance Company of New York,"Chatham County, Georgia",04-1618,"Oct 11, 2005","Apr 25, 2006",112,1.0,1.0,0.0,1
2005,Dixon v. United States,112,"Samuel A. Alito, Jr.","Well, what is the statutory... what is the mens rea under the statute for the offenses that the defendant was charged with? It's knowingly, isn't it? What is the... the methodology that you think we should follow in determining where the burden should be allocated under any particular criminal statute? Is it the... the majority rule at the time when that particular statute was enacted or at... is it... you don't think it's the... the old common law rule. What... what is the... at what point of time do we look at the... at what's going on throughout our country? So the burden would be different under different statutes? If we were dealing with a... with a much older criminal statute, the burden might be allocated differently? ",well what be the statutory what be the men rea under the statute for the offense that the defendant be charge with it be knowingly be not it what be the the methodology that you think we should follow in determine where the burden should be allocate under any particular criminal statute be it the the majority rule at the time when that particular statute be enact or at be it you do not think it be the the old common law rule what what be the at what point of time do we look at the at what be go on throughout our country so the burden would be different under different statute if we we be deal with a with a much old criminal statute the burden might be allocate differently ,40.36999999999999,Roberts Court,"Apr 25, 2006",Keshia Cherie Ashford Dixon,United States,05-7053,"Jan 13, 2006","Jun 22, 2006",112,0.0,1.0,0.0,0
